timestamp_s,mode,voltage_V,current_A,power_W
0.94,TRANSIT,5.159999847412109,1.440000057220459,7.4303998947143555
1.94,TRANSIT,5.1519999504089355,1.5119999647140503,7.78982400894165
2.94,TRANSIT,5.1519999504089355,1.4880000352859497,7.666175842285156
3.94,TRANSIT,5.159999847412109,1.3359999656677246,6.8937602043151855
4.94,TRANSIT,5.159999847412109,1.2799999713897705,6.604800224304199
5.94,TRANSIT,5.159999847412109,1.2960000038146973,6.687359809875488
6.94,TRANSIT,5.159999847412109,1.3040000200271606,6.728640079498291
7.94,TRANSIT,5.159999847412109,1.2879999876022339,6.646080017089844
8.94,TRANSIT,5.159999847412109,1.2879999876022339,6.646080017089844
9.94,TRANSIT,5.159999847412109,1.3839999437332153,7.141439914703369
10.94,DECISION,5.1519999504089355,1.503999948501587,7.748608112335205
11.94,DECISION,5.159999847412109,1.4160000085830688,7.306560039520264
12.94,DECISION,5.159999847412109,1.3839999437332153,7.141439914703369
13.94,DECISION,5.159999847412109,1.312000036239624,6.7699198722839355
14.94,DECISION,5.159999847412109,1.3359999656677246,6.8937602043151855
15.94,STANDBY,5.159999847412109,1.343999981880188,6.93503999710083
16.94,STANDBY,5.159999847412109,1.3600000143051147,7.017600059509277
17.94,TRANSIT,5.159999847412109,1.3519999980926514,6.976319789886475
18.94,TRANSIT,5.159999847412109,1.343999981880188,6.93503999710083
19.94,TRANSIT,5.159999847412109,1.343999981880188,6.93503999710083
20.94,TRANSIT,5.159999847412109,1.3359999656677246,6.8937602043151855
21.94,TRANSIT,5.159999847412109,1.312000036239624,6.7699198722839355
22.94,TRANSIT,5.159999847412109,1.3359999656677246,6.8937602043151855
23.94,TRANSIT,5.159999847412109,1.3200000524520874,6.811200141906738
24.94,TRANSIT,5.159999847412109,1.3279999494552612,6.852479934692383
25.94,TRANSIT,5.159999847412109,1.3680000305175781,7.058879852294922
26.94,TRANSIT,5.159999847412109,1.3680000305175781,7.058879852294922
27.94,DECISION,5.159999847412109,1.399999976158142,7.223999977111816
28.94,DECISION,5.1519999504089355,1.559999942779541,8.03711986541748
29.94,DECISION,5.1519999504089355,1.687999963760376,8.696576118469238
30.94,DECISION,5.1519999504089355,1.503999948501587,7.748608112335205
31.94,DECISION,5.1519999504089355,1.496000051498413,7.70739221572876
32.94,STANDBY,5.159999847412109,1.4240000247955322,7.347839832305908
33.94,STANDBY,5.159999847412109,1.4240000247955322,7.347839832305908
34.94,TRANSIT,5.159999847412109,1.472000002861023,7.59552001953125
35.94,TRANSIT,5.159999847412109,1.4559999704360962,7.512959957122803
36.94,TRANSIT,5.159999847412109,1.4479999542236328,7.471680164337158
37.94,TRANSIT,5.159999847412109,1.3519999980926514,6.976319789886475
38.94,TRANSIT,5.168000221252441,1.25600004196167,6.4910078048706055
39.94,TRANSIT,5.159999847412109,1.2960000038146973,6.687359809875488
40.94,TRANSIT,5.159999847412109,1.2719999551773071,6.5635199546813965
41.94,TRANSIT,5.1519999504089355,1.5199999809265137,7.831039905548096
42.94,TRANSIT,5.1519999504089355,1.559999942779541,8.03711986541748
43.94,TRANSIT,5.159999847412109,1.343999981880188,6.93503999710083
44.94,DECISION,5.159999847412109,1.3600000143051147,7.017600059509277
45.94,DECISION,5.159999847412109,1.3200000524520874,6.811200141906738
46.94,DECISION,5.159999847412109,1.3839999437332153,7.141439914703369
47.94,DECISION,5.159999847412109,1.3040000200271606,6.728640079498291
48.94,DECISION,5.159999847412109,1.2799999713897705,6.604800224304199
49.94,STANDBY,5.168000221252441,1.25600004196167,6.4910078048706055
50.94,STANDBY,5.159999847412109,1.2719999551773071,6.5635199546813965
51.94,TRANSIT,5.159999847412109,1.3040000200271606,6.728640079498291
52.94,TRANSIT,5.159999847412109,1.3519999980926514,6.976319789886475
53.94,TRANSIT,5.159999847412109,1.3359999656677246,6.8937602043151855
54.94,TRANSIT,5.159999847412109,1.3359999656677246,6.8937602043151855
55.94,TRANSIT,5.159999847412109,1.3200000524520874,6.811200141906738
56.94,TRANSIT,5.159999847412109,1.3279999494552612,6.852479934692383
57.94,TRANSIT,5.159999847412109,1.440000057220459,7.4303998947143555
58.94,TRANSIT,5.159999847412109,1.4800000190734863,7.6367998123168945
59.94,TRANSIT,5.159999847412109,1.4479999542236328,7.471680164337158
60.94,TRANSIT,5.1519999504089355,1.527999997138977,7.872255802154541
61.94,DECISION,5.1519999504089355,1.5759999752044678,8.119551658630371
62.94,DECISION,5.159999847412109,1.4479999542236328,7.471680164337158
63.94,DECISION,5.159999847412109,1.4479999542236328,7.471680164337158
64.96,DECISION,5.159999847412109,1.2960000038146973,6.687359809875488
65.94,DECISION,5.159999847412109,1.343999981880188,6.93503999710083
66.94,STANDBY,5.159999847412109,1.343999981880188,6.93503999710083
67.94,STANDBY,5.159999847412109,1.3839999437332153,7.141439914703369
68.94,TRANSIT,5.159999847412109,1.3359999656677246,6.8937602043151855
69.94,TRANSIT,5.159999847412109,1.399999976158142,7.223999977111816
