metric,trial,measured,ground_truth,error,unit,pass,notes
bringup_topic_presence,/scan,1.0,1.0,0.0,bool,True,
bringup_topic_presence,/imu/data,1.0,1.0,0.0,bool,True,
bringup_topic_presence,/odom,1.0,1.0,0.0,bool,True,
bringup_topic_presence,/line_sensors,1.0,1.0,0.0,bool,True,
bringup_topic_presence,/gas_sensor,1.0,1.0,0.0,bool,True,
bringup_topic_presence,/rgb/image_raw,1.0,1.0,0.0,bool,True,
topic_hz,/scan,7.483482162805504,8.0,-0.5165178371944963,Hz,False,
topic_hz,/imu/data,96.18053418138784,50.0,46.18053418138784,Hz,True,
lidar_distance,0.50m,nan,0.5,nan,m,False,
lidar_distance,1.00m,nan,1.0,nan,m,False,
lidar_distance,1.50m,nan,1.5,nan,m,False,
lidar_distance,2.00m,nan,2.0,nan,m,False,
lidar_rmse,all,nan,0.02,nan,m,False,
imu_bias_z,1000_samples,-2.8800331679806838e-05,0.0,2.8800331679806838e-05,rad/s,True,
imu_drift_deg_per_min,1000_samples,0.09900824722979115,0.5,-0.4009917527702088,deg/min,True,
odom_trial_error,1,0.0,2.0,100.0,%,False,
odom_trial_error,2,0.0,2.0,100.0,%,False,
odom_trial_error,3,0.0,2.0,100.0,%,False,
odom_trial_error,4,0.0,2.0,100.0,%,False,
odom_trial_error,5,0.0,2.0,100.0,%,False,
odom_trial_error,6,0.0,2.0,100.0,%,False,
odom_trial_error,7,0.0,2.0,100.0,%,False,
odom_trial_error,8,0.0,2.0,100.0,%,False,
odom_trial_error,9,0.0,2.0,100.0,%,False,
odom_trial_error,10,0.0,2.0,100.0,%,False,
odom_mean_error,all,100.0,2.0,98.0,%,False,
odom_sd_error,all,0.0,0.0,0.0,%,True,
