elapsed_s,180.04
steps,2598
turn_events,12
stop_events,30
forward_ratio,0.9838
lidar_fallback_ratio,0.0000
max_forward_mps,0.070
min_linear_cmd_mps,0.000
last_front_min_m,1.236
last_ultra_cm,78.0
front_min_m,0.576
front_mean_m,1.110
ultra_min_cm,28.0
ultra_mean_cm,70.9
imu_fresh,True
camera_fresh,True
lidar_fresh,True
