metric,value,unit,target,pass_fail,notes
LiDAR_RMSE,0.764884,m,<=0.02,FAIL,"4 distances: 0.5/1.0/1.5/2.0m, 15 front samples each"
IMU_Drift,0.003356,deg/min,<=0.5,PASS,bias_rad_s=0.00000098
Odom_Mean_Error,99.1490,%,<=2.0,FAIL,"10 trials, speed_scale=0.37"
Odom_SD,2.6911,%,N/A,N/A,std of 10 odom errors
RGBD_Reprojection,,px,<=0.5,FAIL,from camera_calibration output
TCRT5000_SNR,40.6492,dB,>=6.0,PASS,"SNR=20*log10(signal_mean/noise_std), 5/10/15cm"
