elapsed_s,60.06
steps,858
turn_events,0
stop_events,11
forward_ratio,0.9872
lidar_fallback_ratio,0.0000
max_forward_mps,0.080
min_linear_cmd_mps,0.000
final_speed_scale,0.40
auto_ramp_steps,0
direction_checked,True
direction_sign,1.0
direction_reason,ultrasonic_not_fresh
last_front_min_m,0.542
last_ultra_cm,179.0
front_min_m,0.542
front_mean_m,0.543
ultra_min_cm,178.0
ultra_mean_cm,179.6
imu_fresh,True
camera_fresh,True
lidar_fresh,True
