elapsed_s,180.01
steps,2634
turn_events,477
stop_events,2
forward_ratio,0.8181
lidar_fallback_ratio,0.0008
max_forward_mps,0.070
min_linear_cmd_mps,0.000
final_speed_scale,0.35
auto_ramp_steps,0
last_front_min_m,0.614
last_ultra_cm,20.0
front_min_m,0.281
front_mean_m,1.012
ultra_min_cm,15.0
ultra_mean_cm,75.7
imu_fresh,True
camera_fresh,True
lidar_fresh,True
