[INFO] [1775689691.909037675] [exp6_cnn_detection]: Experiment 6 — CNN Target Recognition starting ...
[INFO] [1775689694.918723781] [exp6_cnn_detection]: 
  Condition: normal  Class: red_cube
[INFO] [1775689694.920480107] [exp6_cnn_detection]:     Set up red_cube at 0.5 m under "normal" lighting. Press Enter ...
[TRTDetector] Engine not found at /home/jetson/models/formica_target_det.trt. Using HSV colour-blob fallback.
[DataLogger] Writing to /home/jetson/formica_experiments/data/exp6_cnn_20260408_230811.csv
[WARN] [1775690078.726962059] [exp6_cnn_detection]: Camera timeout.
[WARN] [1775690083.776620187] [exp6_cnn_detection]: Camera timeout.
[WARN] [1775690088.825061651] [exp6_cnn_detection]: Camera timeout.
[WARN] [1775690093.871395805] [exp6_cnn_detection]: Camera timeout.
[WARN] [1775690098.921248396] [exp6_cnn_detection]: Camera timeout.
[WARN] [1775690103.978484522] [exp6_cnn_detection]: Camera timeout.
[WARN] [1775690109.028524368] [exp6_cnn_detection]: Camera timeout.
[WARN] [1775690114.077485976] [exp6_cnn_detection]: Camera timeout.
[WARN] [1775690119.130014388] [exp6_cnn_detection]: Camera timeout.
[WARN] [1775690124.182340485] [exp6_cnn_detection]: Camera timeout.
[WARN] [1775690129.235791223] [exp6_cnn_detection]: Camera timeout.
[WARN] [1775690134.286074391] [exp6_cnn_detection]: Camera timeout.
[WARN] [1775690139.336322948] [exp6_cnn_detection]: Camera timeout.
[WARN] [1775690144.383807748] [exp6_cnn_detection]: Camera timeout.
[WARN] [1775690149.430907264] [exp6_cnn_detection]: Camera timeout.
[INFO] [1775690149.452469583] [exp6_cnn_detection]:     P=0.000  R=0.000  F1=0.000  AP=0.000
[INFO] [1775690149.454057166] [exp6_cnn_detection]:     Set up red_cube at 2.0 m under "normal" lighting. Press Enter ...
[WARN] [1775690154.483102064] [exp6_cnn_detection]: Camera timeout.
[WARN] [1775690159.535379947] [exp6_cnn_detection]: Camera timeout.
[WARN] [1775690164.584617384] [exp6_cnn_detection]: Camera timeout.
[WARN] [1775690169.633729909] [exp6_cnn_detection]: Camera timeout.
[WARN] [1775690174.685076736] [exp6_cnn_detection]: Camera timeout.
[WARN] [1775690179.735480179] [exp6_cnn_detection]: Camera timeout.
[WARN] [1775690184.783307026] [exp6_cnn_detection]: Camera timeout.
[WARN] [1775690189.833638221] [exp6_cnn_detection]: Camera timeout.
[WARN] [1775690194.881960295] [exp6_cnn_detection]: Camera timeout.
[WARN] [1775690199.931689674] [exp6_cnn_detection]: Camera timeout.
[WARN] [1775690204.980337370] [exp6_cnn_detection]: Camera timeout.
[WARN] [1775690210.029097440] [exp6_cnn_detection]: Camera timeout.
[WARN] [1775690215.077527237] [exp6_cnn_detection]: Camera timeout.
[WARN] [1775690220.130538483] [exp6_cnn_detection]: Camera timeout.
[WARN] [1775690225.179198240] [exp6_cnn_detection]: Camera timeout.
[WARN] [1775690230.234405484] [exp6_cnn_detection]: Camera timeout.
[WARN] [1775690235.283348094] [exp6_cnn_detection]: Camera timeout.
[WARN] [1775690240.335079294] [exp6_cnn_detection]: Camera timeout.
[WARN] [1775690245.384413385] [exp6_cnn_detection]: Camera timeout.
[WARN] [1775690250.433043816] [exp6_cnn_detection]: Camera timeout.
[WARN] [1775690255.487335640] [exp6_cnn_detection]: Camera timeout.
[WARN] [1775690260.537816415] [exp6_cnn_detection]: Camera timeout.
[WARN] [1775690265.585690419] [exp6_cnn_detection]: Camera timeout.
[WARN] [1775690270.634693302] [exp6_cnn_detection]: Camera timeout.
[WARN] [1775690275.686997329] [exp6_cnn_detection]: Camera timeout.
[WARN] [1775690280.739091419] [exp6_cnn_detection]: Camera timeout.
[WARN] [1775690285.787021760] [exp6_cnn_detection]: Camera timeout.
[WARN] [1775690290.835815028] [exp6_cnn_detection]: Camera timeout.
[WARN] [1775690295.889943473] [exp6_cnn_detection]: Camera timeout.
[WARN] [1775690300.945380217] [exp6_cnn_detection]: Camera timeout.
[INFO] [1775690300.969406515] [exp6_cnn_detection]:     P=0.000  R=0.000  F1=0.000  AP=0.000
[INFO] [1775690300.970919936] [exp6_cnn_detection]:     Set up red_cube at 2.5 m under "normal" lighting. Press Enter ...
[WARN] [1775690306.000470829] [exp6_cnn_detection]: Camera timeout.
[WARN] [1775690311.055275976] [exp6_cnn_detection]: Camera timeout.
[WARN] [1775690316.102371667] [exp6_cnn_detection]: Camera timeout.
[WARN] [1775690321.157748208] [exp6_cnn_detection]: Camera timeout.
[WARN] [1775690326.207765094] [exp6_cnn_detection]: Camera timeout.
[WARN] [1775690331.259116595] [exp6_cnn_detection]: Camera timeout.
[WARN] [1775690336.312961464] [exp6_cnn_detection]: Camera timeout.
[WARN] [1775690341.362569594] [exp6_cnn_detection]: Camera timeout.
[WARN] [1775690346.414657943] [exp6_cnn_detection]: Camera timeout.
[WARN] [1775690351.465644055] [exp6_cnn_detection]: Camera timeout.
[WARN] [1775690356.517714804] [exp6_cnn_detection]: Camera timeout.
[WARN] [1775690361.577126140] [exp6_cnn_detection]: Camera timeout.
[WARN] [1775690366.626889576] [exp6_cnn_detection]: Camera timeout.
[WARN] [1775690371.675898232] [exp6_cnn_detection]: Camera timeout.
[WARN] [1775690376.725952128] [exp6_cnn_detection]: Camera timeout.
[WARN] [1775690381.780570382] [exp6_cnn_detection]: Camera timeout.
[WARN] [1775690386.834387142] [exp6_cnn_detection]: Camera timeout.
[WARN] [1775690391.883691393] [exp6_cnn_detection]: Camera timeout.
[WARN] [1775690396.930748571] [exp6_cnn_detection]: Camera timeout.
[WARN] [1775690401.979060864] [exp6_cnn_detection]: Camera timeout.
[WARN] [1775690407.030799169] [exp6_cnn_detection]: Camera timeout.
[WARN] [1775690412.074246718] [exp6_cnn_detection]: Camera timeout.
[WARN] [1775690417.121797354] [exp6_cnn_detection]: Camera timeout.
[WARN] [1775690422.166650148] [exp6_cnn_detection]: Camera timeout.
[WARN] [1775690427.216059787] [exp6_cnn_detection]: Camera timeout.
[WARN] [1775690432.267946123] [exp6_cnn_detection]: Camera timeout.
[WARN] [1775690437.316530109] [exp6_cnn_detection]: Camera timeout.
[WARN] [1775690442.364284781] [exp6_cnn_detection]: Camera timeout.
[WARN] [1775690447.412917032] [exp6_cnn_detection]: Camera timeout.
[WARN] [1775690452.466056946] [exp6_cnn_detection]: Camera timeout.
[INFO] [1775690452.489538976] [exp6_cnn_detection]:     P=0.000  R=0.000  F1=0.000  AP=0.000
[INFO] [1775690452.491042232] [exp6_cnn_detection]:   mAP (normal / red_cube) = 0.0000
[INFO] [1775690452.492375228] [exp6_cnn_detection]: 
  Condition: normal  Class: green_cylinder
[INFO] [1775690452.494179584] [exp6_cnn_detection]:     Set up green_cylinder at 0.5 m under "normal" lighting. Press Enter ...
[WARN] [1775690457.524974195] [exp6_cnn_detection]: Camera timeout.
[WARN] [1775690462.576591268] [exp6_cnn_detection]: Camera timeout.
[WARN] [1775690467.624727832] [exp6_cnn_detection]: Camera timeout.
[WARN] [1775690472.671597835] [exp6_cnn_detection]: Camera timeout.
[WARN] [1775690477.722032100] [exp6_cnn_detection]: Camera timeout.
[WARN] [1775690482.773352141] [exp6_cnn_detection]: Camera timeout.
[WARN] [1775690487.823520028] [exp6_cnn_detection]: Camera timeout.
[WARN] [1775690492.873247506] [exp6_cnn_detection]: Camera timeout.
[WARN] [1775690497.922973894] [exp6_cnn_detection]: Camera timeout.
[WARN] [1775690502.970633034] [exp6_cnn_detection]: Camera timeout.
[WARN] [1775690508.007700973] [exp6_cnn_detection]: Camera timeout.
[WARN] [1775690513.045905392] [exp6_cnn_detection]: Camera timeout.
[WARN] [1775690518.095847168] [exp6_cnn_detection]: Camera timeout.
[WARN] [1775690523.147243221] [exp6_cnn_detection]: Camera timeout.
[WARN] [1775690528.196295902] [exp6_cnn_detection]: Camera timeout.
[WARN] [1775690533.246884583] [exp6_cnn_detection]: Camera timeout.
[WARN] [1775690538.298826961] [exp6_cnn_detection]: Camera timeout.
[WARN] [1775690543.351547880] [exp6_cnn_detection]: Camera timeout.
[WARN] [1775690548.402277390] [exp6_cnn_detection]: Camera timeout.
[WARN] [1775690553.452678358] [exp6_cnn_detection]: Camera timeout.
[WARN] [1775690558.504483740] [exp6_cnn_detection]: Camera timeout.
[WARN] [1775690563.555072706] [exp6_cnn_detection]: Camera timeout.
[WARN] [1775690568.605582295] [exp6_cnn_detection]: Camera timeout.
[WARN] [1775690573.654980888] [exp6_cnn_detection]: Camera timeout.
[WARN] [1775690578.704982458] [exp6_cnn_detection]: Camera timeout.
[WARN] [1775690583.754024040] [exp6_cnn_detection]: Camera timeout.
[WARN] [1775690588.804805239] [exp6_cnn_detection]: Camera timeout.
[WARN] [1775690593.853892140] [exp6_cnn_detection]: Camera timeout.
[WARN] [1775690598.905107776] [exp6_cnn_detection]: Camera timeout.
[WARN] [1775690603.953399422] [exp6_cnn_detection]: Camera timeout.
[INFO] [1775690603.976705232] [exp6_cnn_detection]:     P=0.000  R=0.000  F1=0.000  AP=0.000
[INFO] [1775690603.978489221] [exp6_cnn_detection]:     Set up green_cylinder at 1.0 m under "normal" lighting. Press Enter ...
[WARN] [1775690609.008387633] [exp6_cnn_detection]: Camera timeout.
[WARN] [1775690614.061846023] [exp6_cnn_detection]: Camera timeout.
[WARN] [1775690619.106553183] [exp6_cnn_detection]: Camera timeout.
[WARN] [1775690624.157098336] [exp6_cnn_detection]: Camera timeout.
[WARN] [1775690629.206604683] [exp6_cnn_detection]: Camera timeout.
