elapsed_s,60.02
steps,865
turn_events,267
stop_events,28
forward_ratio,0.6590
lidar_fallback_ratio,0.0000
max_forward_mps,0.080
min_linear_cmd_mps,0.000
final_speed_scale,0.40
auto_ramp_steps,0
last_front_min_m,0.544
last_ultra_cm,179.0
front_min_m,0.498
front_mean_m,0.587
ultra_min_cm,8.0
ultra_mean_cm,122.9
imu_fresh,True
camera_fresh,True
lidar_fresh,True
invert_linear_direction,True
