[WARN] [1776188457.121540295] [exp6_cnn_detection]: Camera timeout.
[WARN] [1776188462.150499024] [exp6_cnn_detection]: Camera timeout.
[WARN] [1776188467.170999640] [exp6_cnn_detection]: Camera timeout.
[WARN] [1776188472.192129875] [exp6_cnn_detection]: Camera timeout.
[WARN] [1776188477.219320437] [exp6_cnn_detection]: Camera timeout.
[WARN] [1776188482.239853378] [exp6_cnn_detection]: Camera timeout.
[WARN] [1776188487.260689751] [exp6_cnn_detection]: Camera timeout.
[WARN] [1776188492.287732308] [exp6_cnn_detection]: Camera timeout.
[WARN] [1776188497.310576444] [exp6_cnn_detection]: Camera timeout.
[WARN] [1776188502.332226465] [exp6_cnn_detection]: Camera timeout.
[WARN] [1776188507.359507708] [exp6_cnn_detection]: Camera timeout.
[WARN] [1776188512.401181563] [exp6_cnn_detection]: Camera timeout.
[WARN] [1776188517.424131733] [exp6_cnn_detection]: Camera timeout.
[WARN] [1776188522.454860990] [exp6_cnn_detection]: Camera timeout.
[WARN] [1776188527.488786967] [exp6_cnn_detection]: Camera timeout.
[WARN] [1776188532.518805372] [exp6_cnn_detection]: Camera timeout.
[INFO] [1776188532.519806040] [exp6_cnn_detection]:     P=0.000  R=0.000  F1=0.000  AP=0.000
[INFO] [1776188532.520523372] [exp6_cnn_detection]:     Set up red_cube at 2.0 m under "normal" lighting. Press Enter ...
[WARN] [1776188538.046978725] [exp6_cnn_detection]: Camera timeout.
[WARN] [1776188543.076220299] [exp6_cnn_detection]: Camera timeout.
[WARN] [1776188548.099919342] [exp6_cnn_detection]: Camera timeout.
[WARN] [1776188553.121308325] [exp6_cnn_detection]: Camera timeout.
[WARN] [1776188558.143186077] [exp6_cnn_detection]: Camera timeout.
[WARN] [1776188563.187668087] [exp6_cnn_detection]: Camera timeout.
[WARN] [1776188568.209264940] [exp6_cnn_detection]: Camera timeout.
[WARN] [1776188573.229336391] [exp6_cnn_detection]: Camera timeout.
[WARN] [1776188578.261138839] [exp6_cnn_detection]: Camera timeout.
[WARN] [1776188583.306512877] [exp6_cnn_detection]: Camera timeout.
[WARN] [1776188588.327236265] [exp6_cnn_detection]: Camera timeout.
[WARN] [1776188593.354881842] [exp6_cnn_detection]: Camera timeout.
[WARN] [1776188598.387878556] [exp6_cnn_detection]: Camera timeout.
[WARN] [1776188603.408834054] [exp6_cnn_detection]: Camera timeout.
[WARN] [1776188608.447417955] [exp6_cnn_detection]: Camera timeout.
[WARN] [1776188613.494128556] [exp6_cnn_detection]: Camera timeout.
[WARN] [1776188618.528848980] [exp6_cnn_detection]: Camera timeout.
[WARN] [1776188623.552580917] [exp6_cnn_detection]: Camera timeout.
[WARN] [1776188628.579889858] [exp6_cnn_detection]: Camera timeout.
[WARN] [1776188633.606250460] [exp6_cnn_detection]: Camera timeout.
[WARN] [1776188638.629250593] [exp6_cnn_detection]: Camera timeout.
[WARN] [1776188643.650970120] [exp6_cnn_detection]: Camera timeout.
[WARN] [1776188648.683107767] [exp6_cnn_detection]: Camera timeout.
[WARN] [1776188653.706729822] [exp6_cnn_detection]: Camera timeout.
[WARN] [1776188658.729464722] [exp6_cnn_detection]: Camera timeout.
[WARN] [1776188663.753423722] [exp6_cnn_detection]: Camera timeout.
[WARN] [1776188668.778421508] [exp6_cnn_detection]: Camera timeout.
[WARN] [1776188673.804184660] [exp6_cnn_detection]: Camera timeout.
[WARN] [1776188678.852194131] [exp6_cnn_detection]: Camera timeout.
[WARN] [1776188683.878355123] [exp6_cnn_detection]: Camera timeout.
[INFO] [1776188683.940676573] [exp6_cnn_detection]:     P=0.000  R=0.000  F1=0.000  AP=0.000
[INFO] [1776188683.941456178] [exp6_cnn_detection]:     Set up red_cube at 2.5 m under "normal" lighting. Press Enter ...
[WARN] [1776188689.464404984] [exp6_cnn_detection]: Camera timeout.
[WARN] [1776188694.487472040] [exp6_cnn_detection]: Camera timeout.
[WARN] [1776188699.517271604] [exp6_cnn_detection]: Camera timeout.
[WARN] [1776188704.540385764] [exp6_cnn_detection]: Camera timeout.
[WARN] [1776188709.564760022] [exp6_cnn_detection]: Camera timeout.
[WARN] [1776188714.591475558] [exp6_cnn_detection]: Camera timeout.
[WARN] [1776188719.619785279] [exp6_cnn_detection]: Camera timeout.
[WARN] [1776188724.644232681] [exp6_cnn_detection]: Camera timeout.
[WARN] [1776188729.668265699] [exp6_cnn_detection]: Camera timeout.
[WARN] [1776188734.697202305] [exp6_cnn_detection]: Camera timeout.
[WARN] [1776188739.720649344] [exp6_cnn_detection]: Camera timeout.
[WARN] [1776188744.744342783] [exp6_cnn_detection]: Camera timeout.
[WARN] [1776188749.771261459] [exp6_cnn_detection]: Camera timeout.
[WARN] [1776188754.796704021] [exp6_cnn_detection]: Camera timeout.
[WARN] [1776188759.821926314] [exp6_cnn_detection]: Camera timeout.
[WARN] [1776188764.848137267] [exp6_cnn_detection]: Camera timeout.
[WARN] [1776188769.905139475] [exp6_cnn_detection]: Camera timeout.
[WARN] [1776188774.930464976] [exp6_cnn_detection]: Camera timeout.
[WARN] [1776188779.955842757] [exp6_cnn_detection]: Camera timeout.
[WARN] [1776188784.988734531] [exp6_cnn_detection]: Camera timeout.
[WARN] [1776188790.017140376] [exp6_cnn_detection]: Camera timeout.
[WARN] [1776188795.040310926] [exp6_cnn_detection]: Camera timeout.
[WARN] [1776188800.068320577] [exp6_cnn_detection]: Camera timeout.
[WARN] [1776188805.102202892] [exp6_cnn_detection]: Camera timeout.
[WARN] [1776188810.126745827] [exp6_cnn_detection]: Camera timeout.
[WARN] [1776188815.149753889] [exp6_cnn_detection]: Camera timeout.
[WARN] [1776188820.177906627] [exp6_cnn_detection]: Camera timeout.
[WARN] [1776188825.203682963] [exp6_cnn_detection]: Camera timeout.
[WARN] [1776188830.228824418] [exp6_cnn_detection]: Camera timeout.
[WARN] [1776188835.259437404] [exp6_cnn_detection]: Camera timeout.
[INFO] [1776188835.260446552] [exp6_cnn_detection]:     P=0.000  R=0.000  F1=0.000  AP=0.000
[INFO] [1776188835.261146700] [exp6_cnn_detection]:   mAP (normal / red_cube) = 0.0000
[INFO] [1776188835.261795550] [exp6_cnn_detection]: 
  Condition: normal  Class: green_cylinder
[INFO] [1776188835.262432016] [exp6_cnn_detection]:     Set up green_cylinder at 0.5 m under "normal" lighting. Press Enter ...
[WARN] [1776188840.788424187] [exp6_cnn_detection]: Camera timeout.
[WARN] [1776188845.811099066] [exp6_cnn_detection]: Camera timeout.
[WARN] [1776188850.866588742] [exp6_cnn_detection]: Camera timeout.
[WARN] [1776188855.896102563] [exp6_cnn_detection]: Camera timeout.
[WARN] [1776188860.920906026] [exp6_cnn_detection]: Camera timeout.
[WARN] [1776188865.945769343] [exp6_cnn_detection]: Camera timeout.
[WARN] [1776188870.975297350] [exp6_cnn_detection]: Camera timeout.
[WARN] [1776188876.000328283] [exp6_cnn_detection]: Camera timeout.
[WARN] [1776188881.041850543] [exp6_cnn_detection]: Camera timeout.
[WARN] [1776188886.068405031] [exp6_cnn_detection]: Camera timeout.
[WARN] [1776188891.107344426] [exp6_cnn_detection]: Camera timeout.
[WARN] [1776188896.129508444] [exp6_cnn_detection]: Camera timeout.
[WARN] [1776188901.153235942] [exp6_cnn_detection]: Camera timeout.
[WARN] [1776188906.186575242] [exp6_cnn_detection]: Camera timeout.
[WARN] [1776188911.213645606] [exp6_cnn_detection]: Camera timeout.
[WARN] [1776188916.249492037] [exp6_cnn_detection]: Camera timeout.
[WARN] [1776188921.280068823] [exp6_cnn_detection]: Camera timeout.
[WARN] [1776188926.322454434] [exp6_cnn_detection]: Camera timeout.
[WARN] [1776188931.346329671] [exp6_cnn_detection]: Camera timeout.
[WARN] [1776188936.372005863] [exp6_cnn_detection]: Camera timeout.
[WARN] [1776188941.394729275] [exp6_cnn_detection]: Camera timeout.
[WARN] [1776188946.417249552] [exp6_cnn_detection]: Camera timeout.
[WARN] [1776188951.461908417] [exp6_cnn_detection]: Camera timeout.
[WARN] [1776188956.490627891] [exp6_cnn_detection]: Camera timeout.
[WARN] [1776188961.517124268] [exp6_cnn_detection]: Camera timeout.
[WARN] [1776188966.604637106] [exp6_cnn_detection]: Camera timeout.
[WARN] [1776188971.639022166] [exp6_cnn_detection]: Camera timeout.
[WARN] [1776188976.681319329] [exp6_cnn_detection]: Camera timeout.
[WARN] [1776188981.709443037] [exp6_cnn_detection]: Camera timeout.
[WARN] [1776188986.740514289] [exp6_cnn_detection]: Camera timeout.
[INFO] [1776188986.771709321] [exp6_cnn_detection]:     P=0.000  R=0.000  F1=0.000  AP=0.000
[INFO] [1776188986.772498367] [exp6_cnn_detection]:     Set up green_cylinder at 1.0 m under "normal" lighting. Press Enter ...
[WARN] [1776188992.308428161] [exp6_cnn_detection]: Camera timeout.
[WARN] [1776188997.333568023] [exp6_cnn_detection]: Camera timeout.
[WARN] [1776189002.368393572] [exp6_cnn_detection]: Camera timeout.
[WARN] [1776189007.398210181] [exp6_cnn_detection]: Camera timeout.
[WARN] [1776189012.422204706] [exp6_cnn_detection]: Camera timeout.
[WARN] [1776189017.444431280] [exp6_cnn_detection]: Camera timeout.
[WARN] [1776189022.496787481] [exp6_cnn_detection]: Camera timeout.
[WARN] [1776189027.521797881] [exp6_cnn_detection]: Camera timeout.
[WARN] [1776189032.548867956] [exp6_cnn_detection]: Camera timeout.
[WARN] [1776189037.573465994] [exp6_cnn_detection]: Camera timeout.
[WARN] [1776189042.606125509] [exp6_cnn_detection]: Camera timeout.
[WARN] [1776189047.631162888] [exp6_cnn_detection]: Camera timeout.
[WARN] [1776189052.654876196] [exp6_cnn_detection]: Camera timeout.
[WARN] [1776189057.686040085] [exp6_cnn_detection]: Camera timeout.
[WARN] [1776189062.732906021] [exp6_cnn_detection]: Camera timeout.
[WARN] [1776189067.758065608] [exp6_cnn_detection]: Camera timeout.
[WARN] [1776189072.800579705] [exp6_cnn_detection]: Camera timeout.
[WARN] [1776189077.834442034] [exp6_cnn_detection]: Camera timeout.
[WARN] [1776189082.867632214] [exp6_cnn_detection]: Camera timeout.
[WARN] [1776189087.890344811] [exp6_cnn_detection]: Camera timeout.
[WARN] [1776189092.912825783] [exp6_cnn_detection]: Camera timeout.
[WARN] [1776189097.936956559] [exp6_cnn_detection]: Camera timeout.
[WARN] [1776189102.962427051] [exp6_cnn_detection]: Camera timeout.
[WARN] [1776189107.990295655] [exp6_cnn_detection]: Camera timeout.
[WARN] [1776189113.018668911] [exp6_cnn_detection]: Camera timeout.
[WARN] [1776189118.044089565] [exp6_cnn_detection]: Camera timeout.
[WARN] [1776189123.073800578] [exp6_cnn_detection]: Camera timeout.
[WARN] [1776189128.101326692] [exp6_cnn_detection]: Camera timeout.
[WARN] [1776189133.130548658] [exp6_cnn_detection]: Camera timeout.
[WARN] [1776189138.156017295] [exp6_cnn_detection]: Camera timeout.
[INFO] [1776189138.185510396] [exp6_cnn_detection]:     P=0.000  R=0.000  F1=0.000  AP=0.000
[INFO] [1776189138.186391957] [exp6_cnn_detection]:     Set up green_cylinder at 1.5 m under "normal" lighting. Press Enter ...
[WARN] [1776189143.711957035] [exp6_cnn_detection]: Camera timeout.
[WARN] [1776189148.735330385] [exp6_cnn_detection]: Camera timeout.
[WARN] [1776189153.757837934] [exp6_cnn_detection]: Camera timeout.
[WARN] [1776189158.785167405] [exp6_cnn_detection]: Camera timeout.
[WARN] [1776189163.810393091] [exp6_cnn_detection]: Camera timeout.
[WARN] [1776189168.837771258] [exp6_cnn_detection]: Camera timeout.
[WARN] [1776189173.869054683] [exp6_cnn_detection]: Camera timeout.
[WARN] [1776189178.905604381] [exp6_cnn_detection]: Camera timeout.
[WARN] [1776189183.937477570] [exp6_cnn_detection]: Camera timeout.
[WARN] [1776189188.969392102] [exp6_cnn_detection]: Camera timeout.
[WARN] [1776189193.999097942] [exp6_cnn_detection]: Camera timeout.
[WARN] [1776189199.025775447] [exp6_cnn_detection]: Camera timeout.
[WARN] [1776189204.050676157] [exp6_cnn_detection]: Camera timeout.
[WARN] [1776189209.073110771] [exp6_cnn_detection]: Camera timeout.
[WARN] [1776189214.097524583] [exp6_cnn_detection]: Camera timeout.
[WARN] [1776189219.122714896] [exp6_cnn_detection]: Camera timeout.
[WARN] [1776189224.151059243] [exp6_cnn_detection]: Camera timeout.
[WARN] [1776189229.180734933] [exp6_cnn_detection]: Camera timeout.
[WARN] [1776189234.205936215] [exp6_cnn_detection]: Camera timeout.
[WARN] [1776189239.235599271] [exp6_cnn_detection]: Camera timeout.
[WARN] [1776189244.267866595] [exp6_cnn_detection]: Camera timeout.
[WARN] [1776189249.296760778] [exp6_cnn_detection]: Camera timeout.
[WARN] [1776189254.328123007] [exp6_cnn_detection]: Camera timeout.
[WARN] [1776189259.391246098] [exp6_cnn_detection]: Camera timeout.
[WARN] [1776189264.422461736] [exp6_cnn_detection]: Camera timeout.
[WARN] [1776189269.461756904] [exp6_cnn_detection]: Camera timeout.
[WARN] [1776189274.503155666] [exp6_cnn_detection]: Camera timeout.
[WARN] [1776189279.535917786] [exp6_cnn_detection]: Camera timeout.
[WARN] [1776189284.578937861] [exp6_cnn_detection]: Camera timeout.
[WARN] [1776189289.611335403] [exp6_cnn_detection]: Camera timeout.
[INFO] [1776189289.612276782] [exp6_cnn_detection]:     P=0.000  R=0.000  F1=0.000  AP=0.000
[INFO] [1776189289.612939239] [exp6_cnn_detection]:     Set up green_cylinder at 2.0 m under "normal" lighting. Press Enter ...
[WARN] [1776189295.145466347] [exp6_cnn_detection]: Camera timeout.
[WARN] [1776189300.173314081] [exp6_cnn_detection]: Camera timeout.
[WARN] [1776189305.198447396] [exp6_cnn_detection]: Camera timeout.
[WARN] [1776189310.231074676] [exp6_cnn_detection]: Camera timeout.
[WARN] [1776189315.257253198] [exp6_cnn_detection]: Camera timeout.
[WARN] [1776189320.286061413] [exp6_cnn_detection]: Camera timeout.
[WARN] [1776189325.340333540] [exp6_cnn_detection]: Camera timeout.
[WARN] [1776189330.378951684] [exp6_cnn_detection]: Camera timeout.
[WARN] [1776189335.407202029] [exp6_cnn_detection]: Camera timeout.
[WARN] [1776189340.434267316] [exp6_cnn_detection]: Camera timeout.
[WARN] [1776189345.461639058] [exp6_cnn_detection]: Camera timeout.
[WARN] [1776189350.531023962] [exp6_cnn_detection]: Camera timeout.
[WARN] [1776189355.559564705] [exp6_cnn_detection]: Camera timeout.
[WARN] [1776189360.585322360] [exp6_cnn_detection]: Camera timeout.
[WARN] [1776189365.613717607] [exp6_cnn_detection]: Camera timeout.
[WARN] [1776189370.645034362] [exp6_cnn_detection]: Camera timeout.
[WARN] [1776189375.673118198] [exp6_cnn_detection]: Camera timeout.
[WARN] [1776189380.724808679] [exp6_cnn_detection]: Camera timeout.
[WARN] [1776189385.752273455] [exp6_cnn_detection]: Camera timeout.
[WARN] [1776189390.784269216] [exp6_cnn_detection]: Camera timeout.
[WARN] [1776189395.812077699] [exp6_cnn_detection]: Camera timeout.
[WARN] [1776189400.837011915] [exp6_cnn_detection]: Camera timeout.
[WARN] [1776189405.865150484] [exp6_cnn_detection]: Camera timeout.
[WARN] [1776189410.892734906] [exp6_cnn_detection]: Camera timeout.
[WARN] [1776189415.917236806] [exp6_cnn_detection]: Camera timeout.
[WARN] [1776189420.949274486] [exp6_cnn_detection]: Camera timeout.
[WARN] [1776189425.973882453] [exp6_cnn_detection]: Camera timeout.
[WARN] [1776189431.009573722] [exp6_cnn_detection]: Camera timeout.
[WARN] [1776189436.040062211] [exp6_cnn_detection]: Camera timeout.
[WARN] [1776189441.071588306] [exp6_cnn_detection]: Camera timeout.
[INFO] [1776189441.100596278] [exp6_cnn_detection]:     P=0.000  R=0.000  F1=0.000  AP=0.000
[INFO] [1776189441.101419635] [exp6_cnn_detection]:     Set up green_cylinder at 2.5 m under "normal" lighting. Press Enter ...
[WARN] [1776189446.631374287] [exp6_cnn_detection]: Camera timeout.
[WARN] [1776189451.659446353] [exp6_cnn_detection]: Camera timeout.
[WARN] [1776189456.690669354] [exp6_cnn_detection]: Camera timeout.
[WARN] [1776189461.729232977] [exp6_cnn_detection]: Camera timeout.
[WARN] [1776189466.756260397] [exp6_cnn_detection]: Camera timeout.
[WARN] [1776189471.792851946] [exp6_cnn_detection]: Camera timeout.
[WARN] [1776189476.826177284] [exp6_cnn_detection]: Camera timeout.
[WARN] [1776189481.853029839] [exp6_cnn_detection]: Camera timeout.
[WARN] [1776189486.878380188] [exp6_cnn_detection]: Camera timeout.
